INFO 2025-12-13 17:40:59,134 autoreload 69693 140704314228928 Watching for file changes with StatReloader
DEBUG 2025-12-13 17:40:59,135 autoreload 69693 140704314228928 Waiting for apps ready_event.
DEBUG 2025-12-13 17:40:59,238 autoreload 69693 140704314228928 Main Django thread has terminated before apps are ready.
DEBUG 2025-12-13 17:41:00,203 autoreload 69693 140704314228928 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-12-13 17:41:00,294 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/base_tasks.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,294 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/utils/choices.py first seen with mtime 1762202474.2330887
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/forms/models.py first seen with mtime 1762202474.167103
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/db/models/query.py first seen with mtime 1762202474.151048
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/shutil.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/core/serializers/python.py first seen with mtime 1762202474.1160808
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/rest_framework/schemas/generators.py first seen with mtime 1762202476.6145601
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/ipaddress.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/rest_framework/schemas/inspectors.py first seen with mtime 1762202476.615129
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/yaml/tokens.py first seen with mtime 1762202471.3284702
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/codeop.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/requests/hooks.py first seen with mtime 1762202472.4502215
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/urllib3/util/ssl_.py first seen with mtime 1762202471.1345165
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/urls/resolvers.py first seen with mtime 1762202474.2300503
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/sqlparse/filters/reindent.py first seen with mtime 1762202471.2717426
DEBUG 2025-12-13 17:41:00,295 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/db/models/functions/math.py first seen with mtime 1762202474.1589732
DEBUG 2025-12-13 17:41:00,296 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/urls/exceptions.py first seen with mtime 1762202474.2295382
DEBUG 2025-12-13 17:41:00,296 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/requests/exceptions.py first seen with mtime 1762202472.4495378
DEBUG 2025-12-13 17:41:00,296 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django_filters/utils.py first seen with mtime 1762862217.8143058
DEBUG 2025-12-13 17:41:00,296 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/rest_framework/utils/representation.py first seen with mtime 1762202476.675165
DEBUG 2025-12-13 17:41:00,296 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/template/defaulttags.py first seen with mtime 1762202474.213392
DEBUG 2025-12-13 17:41:00,296 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/core/files/storage/memory.py first seen with mtime 1762202474.0973442
DEBUG 2025-12-13 17:41:00,300 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/html/entities.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,300 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/dj_rest_auth/registration/__init__.py first seen with mtime 1762202478.3780754
DEBUG 2025-12-13 17:41:00,300 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/django/template/context.py first seen with mtime 1762202474.2120178
DEBUG 2025-12-13 17:41:00,300 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/yaml/constructor.py first seen with mtime 1762202471.3248427
DEBUG 2025-12-13 17:41:00,300 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/yaml/dumper.py first seen with mtime 1762202471.3287237
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/email/_policybase.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/enum.py first seen with mtime 1759829692.0
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /Users/admin/Desktop/Backend Projects/GeH_Backend/.venv/lib/python3.14/site-packages/urllib3/connectionpool.py first seen with mtime 1762202471.1252944
DEBUG 2025-12-13 17:41:00,301 autoreload 69693 140704314228928 File /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/calendar.py first seen with mtime 1759829692.0
